model,date,n_universe,pool_up_count,pool_down_count,sel_up_count,sel_down_count,up_dir_acc_5d,sel_up_avg_ret_5d,down_dir_acc_5d,sel_down_avg_ret_5d,smcr_up_1pct_pool,smcr_up_1pct_sel,smcr_down_1pct_pool,smcr_down_1pct_sel,n_strong_up_1pct,n_strong_down_1pct,smcr_up_2pct_pool,smcr_up_2pct_sel,smcr_down_2pct_pool,smcr_down_2pct_sel,n_strong_up_2pct,n_strong_down_2pct,smcr_up_3pct_pool,smcr_up_3pct_sel,smcr_down_3pct_pool,smcr_down_3pct_sel,n_strong_up_3pct,n_strong_down_3pct,top1_up_capture,top3_up_capture,top5_up_capture,top1_down_capture,top3_down_capture,top5_down_capture,pool_precision_up,pool_precision_down,sel_precision_up,sel_precision_down,sel_lift_up,sel_up_avg_mfe,sel_up_avg_mae,sel_up_avg_ret_1d,sel_up_avg_ret_3d,regime,n_iios_signals
MODEL_A,2021-11-23,204,9,0,6,0,0.3333333333333333,-1.3299,,,0.075,0.05,0.0,0.0,40,134,0.09090909090909091,0.06060606060606061,0.0,0.0,33,112,0.07407407407407407,0.07407407407407407,0.0,0.0,27,94,0,0,0,0,0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,2.0606060606060606,6.480550000000001,-6.440149999999999,0.3423166666666666,-1.347883333333333,SIDEWAYS,9
MODEL_B,2021-11-23,204,20,20,6,6,0.16666666666666666,-4.70545,0.3333333333333333,0.6638666666666667,0.175,0.025,0.05223880597014925,0.014925373134328358,40,134,0.15151515151515152,0.030303030303030304,0.0625,0.017857142857142856,33,112,0.14814814814814814,0.0,0.05319148936170213,0.010638297872340425,27,94,0,0,0,0,0,0,0.25,0.35,0.16666666666666666,0.3333333333333333,1.0303030303030303,3.0247166666666665,-7.285633333333334,-0.6119166666666667,-2.972383333333333,SIDEWAYS,9
MODEL_C,2021-11-23,204,20,20,6,6,0.3333333333333333,-1.3299,0.6666666666666666,-1.5472000000000004,0.125,0.05,0.06716417910447761,0.029850746268656716,40,134,0.15151515151515152,0.06060606060606061,0.07142857142857142,0.03571428571428571,33,112,0.1111111111111111,0.07407407407407407,0.06382978723404255,0.031914893617021274,27,94,0,0,0,0,0,0,0.25,0.4,0.3333333333333333,0.6666666666666666,2.0606060606060606,6.480550000000001,-6.440149999999999,0.3423166666666666,-1.347883333333333,SIDEWAYS,9
MODEL_A,2021-11-24,204,13,0,6,0,0.5,-0.2425166666666667,,,0.13333333333333333,0.06666666666666667,0.0,0.0,45,124,0.15625,0.09375,0.0,0.0,32,106,0.16666666666666666,0.08333333333333333,0.0,0.0,24,83,0,0,0,0,0,0,0.38461538461538464,0.0,0.5,0.0,3.1875,5.339600000000001,-9.89785,-0.3165,-5.4583,SIDEWAYS,13
MODEL_B,2021-11-24,204,20,20,6,6,0.5,1.7064333333333337,0.8333333333333334,-2.393966666666667,0.15555555555555556,0.06666666666666667,0.0967741935483871,0.03225806451612903,45,124,0.1875,0.0625,0.11320754716981132,0.03773584905660377,32,106,0.20833333333333334,0.08333333333333333,0.10843373493975904,0.03614457831325301,24,83,0,1,1,0,0,0,0.3,0.6,0.3333333333333333,0.6666666666666666,2.125,5.974050000000001,-6.094416666666667,1.7273000000000003,-3.5875833333333333,SIDEWAYS,13
MODEL_C,2021-11-24,204,20,20,6,6,0.3333333333333333,0.9788166666666669,0.5,0.8009333333333334,0.15555555555555556,0.044444444444444446,0.08870967741935484,0.016129032258064516,45,124,0.1875,0.0625,0.10377358490566038,0.018867924528301886,32,106,0.20833333333333334,0.041666666666666664,0.10843373493975904,0.024096385542168676,24,83,0,1,1,0,0,0,0.3,0.55,0.3333333333333333,0.3333333333333333,2.125,5.673116666666666,-6.982599999999999,0.4846999999999999,-3.0392000000000006,SIDEWAYS,13
MODEL_A,2021-11-25,204,13,0,6,0,0.3333333333333333,-2.14175,,,0.08888888888888889,0.044444444444444446,0.0,0.0,45,121,0.1,0.03333333333333333,0.0,0.0,30,100,0.15,0.05,0.0,0.0,20,75,0,0,1,0,0,0,0.23076923076923078,0.0,0.16666666666666666,0.0,1.1333333333333333,3.88555,-9.493066666666666,-2.9312333333333336,-5.92865,SIDEWAYS,13
MODEL_B,2021-11-25,204,20,20,6,6,0.3333333333333333,-2.3025333333333333,0.6666666666666666,-0.8056999999999999,0.13333333333333333,0.044444444444444446,0.08264462809917356,0.024793388429752067,45,121,0.13333333333333333,0.03333333333333333,0.08,0.03,30,100,0.15,0.05,0.10666666666666667,0.04,20,75,0,0,1,0,0,0,0.2,0.4,0.16666666666666666,0.5,1.1333333333333333,3.7228166666666667,-8.388283333333332,-3.2588166666666667,-5.342616666666667,SIDEWAYS,13
MODEL_C,2021-11-25,204,20,20,6,6,0.3333333333333333,-2.14175,0.5,-0.0377166666666667,0.13333333333333333,0.044444444444444446,0.09917355371900827,0.024793388429752067,45,121,0.13333333333333333,0.03333333333333333,0.11,0.03,30,100,0.15,0.05,0.13333333333333333,0.04,20,75,0,0,1,0,0,0,0.2,0.55,0.16666666666666666,0.5,1.1333333333333333,3.88555,-9.493066666666666,-2.9312333333333336,-5.92865,SIDEWAYS,13
MODEL_A,2021-11-26,204,11,0,6,0,0.5,-0.08423333333333353,,,0.0449438202247191,0.033707865168539325,0.0,0.0,89,52,0.03125,0.015625,0.0,0.0,64,33,0.041666666666666664,0.020833333333333332,0.0,0.0,48,21,0,0,0,0,0,0,0.18181818181818182,0.0,0.16666666666666666,0.0,0.53125,4.249833333333333,-5.355266666666666,-1.9388500000000002,-2.1968,SIDEWAYS,11
