date,direction,regime,top5_n,top5_dir_acc,top5_ge1,top5_ge2,top5_ge3,top5_avg_ret,rem15_n,rem15_dir_acc,rem15_ge2,rem15_avg_ret,top5_better,c2_rank1_symbol,c2_rank1_ret
2026-07-13,DOWN,RANGE,5,0.8,0.4,0.2,0.0,-0.4255,15,0.7333,0.2,-1.0349,True,STLTECH.NS,3.03
2026-07-14,UP,RANGE,5,1.0,0.6,0.4,0.4,2.4567,15,0.3333,0.0,-0.6006,True,LTTS.NS,6.5349
2026-07-14,DOWN,RANGE,5,0.6,0.2,0.2,0.0,-0.6506,15,0.3333,0.0,0.8016,True,HCLTECH.NS,0.1114
2026-07-15,UP,RANGE,5,0.8,0.6,0.4,0.4,2.7081,15,0.4667,0.0667,0.0298,True,MRPL.NS,10.0718
2026-07-15,DOWN,RANGE,5,1.0,0.4,0.0,0.0,-0.76,15,0.3333,0.0,0.2746,True,BAJAJFINSV.NS,-0.5947
2026-07-16,UP,RANGE,5,0.8,0.4,0.4,0.4,1.4716,15,0.1333,0.0667,-0.9876,True,TECHM.NS,4.1449
2026-07-16,DOWN,RANGE,5,0.6,0.2,0.2,0.2,-0.9983,15,0.6,0.1333,-0.111,False,STLTECH.NS,-3.87
2026-07-17,UP,RANGE,5,0.6,0.0,0.0,0.0,0.1544,15,0.6667,0.0,0.0365,False,BIOCON.NS,-0.1601
2026-07-17,DOWN,RANGE,5,0.0,0.0,0.0,0.0,0.5864,15,0.2667,0.0,0.7178,False,RBLBANK.NS,0.0951
2026-07-20,UP,RANGE,5,1.0,0.4,0.4,0.4,1.8495,15,0.6667,0.0667,0.3074,True,SHYAMMETL.NS,0.7251
2026-07-20,DOWN,RANGE,5,0.4,0.2,0.2,0.0,0.0981,15,0.2,0.0667,0.5256,True,AXISBANK.NS,0.1752
2026-07-21,UP,RANGE,5,0.4,0.4,0.4,0.4,1.6745,15,0.1333,0.0,-1.1931,True,M&MFIN.NS,8.0892
2026-07-21,DOWN,RANGE,5,0.8,0.6,0.4,0.2,-1.3861,15,1.0,0.5333,-1.9835,False,IDEAFORGE.NS,1.3289
2026-07-22,UP,RANGE,5,0.0,0.0,0.0,0.0,-1.88,15,0.3333,0.0667,-1.6126,False,STLTECH.NS,-0.7415
2026-07-22,DOWN,RANGE,5,0.8,0.4,0.2,0.2,-1.6562,15,0.6,0.1333,-0.069,True,AXISBANK.NS,-1.2435
2026-07-23,UP,RANGE,5,0.4,0.4,0.4,0.2,0.2763,15,0.2667,0.0667,-1.3129,True,METROBRAND.NS,-0.2927
2026-07-23,DOWN,RANGE,5,0.8,0.6,0.2,0.2,-1.4333,15,0.4667,0.1333,0.4505,True,HFCL.NS,-4.908
2026-07-24,UP,RANGE,5,0.6,0.6,0.4,0.4,2.5618,15,0.7333,0.0667,0.2977,False,STLTECH.NS,-1.551
2026-07-24,DOWN,RANGE,5,0.4,0.2,0.0,0.0,0.3935,15,0.3333,0.1333,0.7368,True,RATEGAIN.NS,0.5997
2026-07-27,UP,RANGE,5,0.6,0.2,0.2,0.2,1.6995,15,0.6,0.2667,-0.0493,False,COFORGE.NS,10.3114
2026-07-27,DOWN,RANGE,5,0.6,0.4,0.2,0.0,-0.6478,15,0.6667,0.0,0.3781,False,HFCL.NS,-2.1554
2026-07-28,UP,RANGE,5,0.8,0.8,0.4,0.2,1.608,15,0.7333,0.2667,1.4699,True,INFY.NS,4.513
2026-07-28,DOWN,RANGE,5,0.4,0.0,0.0,0.0,1.1423,15,0.0667,0.0,1.5932,True,ROUTE.NS,-0.5078
2026-07-29,UP,RANGE,5,0.4,0.4,0.0,0.0,0.146,15,0.3333,0.0,-1.1119,True,INFY.NS,-0.0433
2026-07-29,DOWN,RANGE,5,0.6,0.4,0.2,0.2,-0.7903,15,0.7333,0.0,0.0922,False,SHRIRAMFIN.NS,-1.6751
2026-07-30,UP,RANGE,0,,,,,,0,,,,False,,
2026-07-30,DOWN,RANGE,0,,,,,,0,,,,False,,
