date,symbol,direction,actual_move,v3_score,c2_score,c2_rank,selected_top5,regime,miss_type,miss_reason
2026-07-21,ADANIGREEN.NS,DOWN,-4.5139,0.8286,-0.3956,16,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-21,BLUESTARCO.NS,DOWN,-2.4724,0.8157,-0.5051,17,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-21,SOBHA.NS,DOWN,-2.0806,0.7519,-0.7279,18,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-21,RBLBANK.NS,DOWN,-3.1863,0.7507,0.0545,7,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-21,GRANULES.NS,DOWN,-2.5009,0.7216,-0.748,19,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-21,JINDALPOLY.NS,DOWN,-3.3142,0.7131,-1.5078,20,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-22,HFCL.NS,DOWN,-4.9977,0.8009,-1.8632,19,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-22,RATEGAIN.NS,DOWN,-2.1419,0.7532,0.0446,9,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-23,AMBER.NS,DOWN,-2.2678,0.7995,0.7133,8,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-23,GRANULES.NS,DOWN,-2.2286,0.7572,0.7683,7,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-24,MRPL.NS,DOWN,-4.3947,0.8336,-2.2091,19,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-24,HFCL.NS,DOWN,-2.1895,0.8138,-1.6002,16,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-15,SOLARINDS.NS,UP,4.0718,0.8248,1.1263,1,True,RANGE,CORRECTLY_RANKED,NA
