split,trading_date,symbol,direction,regime,reject_reason,C2_score,gap_pct,t1_ret_pct,dir_adj_ret,mfe_pct,mae_pct,outcome,rejection_class
VAL,2026-03-20,TVSMOTOR.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.6412107908266407,-0.6412107908266407,-1.4355,-1.4355,-0.6412107908266407,2.3164461902836275,BAD,CORRECT_REJECTION
VAL,2026-03-23,OLECTRA.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,4.306640624999991,4.306640624999991,4.5264,4.5264,8.749999999999991,-1.6845703125,STRONG,FALSE_REJECTION
VAL,2026-03-23,KPITTECH.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,3.1396936144395537,3.1396936144395537,0.8646,0.8646,3.412710450477774,2.2599726983163926,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-03-23,CENTUM.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,3.847839376469886,3.847839376469886,3.1774,3.1774,6.055976025942877,0.5647864948544856,STRONG,FALSE_REJECTION
VAL,2026-03-23,TATACOMM.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,2.747650036153293,2.747650036153293,1.757,1.757,3.6876355748373113,0.795372378886483,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-03-23,LT.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,2.9200605229793064,2.9200605229793064,5.2178,5.2178,6.124347957286624,-1.4390887218492354,STRONG,FALSE_REJECTION
VAL,2026-03-24,JYOTHYLAB.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.3320647002854402,1.3320647002854402,2.0219,2.0219,3.449096098953386,-0.0475737392959141,STRONG,FALSE_REJECTION
VAL,2026-03-24,COFORGE.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.7926312944779754,1.7926312944779754,4.7743,4.7743,5.008557787586709,-0.0090081974597033,STRONG,FALSE_REJECTION
VAL,2026-03-24,LT.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.50989251592355,1.50989251592355,3.7676,3.7676,4.071883530482245,-0.8303002729754372,STRONG,FALSE_REJECTION
VAL,2026-03-24,LAURUSLABS.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.6522264759218253,1.6522264759218253,3.113,3.113,3.667136812411842,-0.2820874471086032,STRONG,FALSE_REJECTION
VAL,2026-03-24,MASTEK.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.955307262569828,1.955307262569828,1.264,1.264,2.220670391061441,-0.0698324022346374,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-03-25,DEEPAKFERT.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.0050047545167908,-0.0050047545167908,-4.8546,-4.8546,0.8658225314048362,5.410139632651012,BAD,CORRECT_REJECTION
VAL,2026-03-25,GRANULES.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.0079484937604457,0.0079484937604457,-0.7472,-0.7472,0.5246005881885507,1.5976472458469004,BAD,CORRECT_REJECTION
VAL,2026-03-25,COFORGE.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.0945748430917325,-0.0945748430917325,-1.582,-1.582,1.4788066374344488,1.951680852893112,BAD,CORRECT_REJECTION
VAL,2026-03-25,MAPMYINDIA.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.0112208258527868,-0.0112208258527868,-5.3411,-5.3411,-0.0112208258527868,6.149012567324963,BAD,CORRECT_REJECTION
VAL,2026-03-25,AUROPHARMA.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.0,0.0,0.4894,0.4894,1.4681143905796112,0.9022786358770408,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-03-27,ALKYLAMINE.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.185686653771766,-0.185686653771766,-4.7118,-4.7118,0.8665377176015454,5.547388781431339,BAD,CORRECT_REJECTION
VAL,2026-03-27,SUDARSCHEM.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.0065389393840487,0.0065389393840487,-2.2298,-2.2298,0.0065389393840487,5.002288628784413,BAD,CORRECT_REJECTION
VAL,2026-03-27,ERIS.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.1416958759042463,-0.1416958759042463,-3.259,-3.259,-0.1416958759042463,4.787829070027594,BAD,CORRECT_REJECTION
VAL,2026-03-27,ONGC.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.2837382514630393,0.2837382514630393,0.9576,0.9576,2.269906011704226,0.0,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-03-27,GLENMARK.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.0460723335636958,-0.0460723335636958,-1.7876,-1.7876,0.0138217000691165,2.847270214236364,BAD,CORRECT_REJECTION
VAL,2026-03-30,DEEPAKFERT.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,5.385038503850392,5.385038503850392,8.7294,8.7294,10.561056105610556,-2.7062706270627013,STRONG,FALSE_REJECTION
VAL,2026-03-30,LICHSGFIN.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,3.180212014134276,3.180212014134276,4.0989,4.0989,4.553255931347788,-1.8172640080767355,STRONG,FALSE_REJECTION
VAL,2026-03-30,OFSS.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,3.253602733620564,3.253602733620564,2.2582,2.2582,4.338136978160745,-1.559946516119437,STRONG,FALSE_REJECTION
