track,model,timing,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav_ret,avg_mfe,avg_mae,fp_rate,conc_lift,top1_cap,spearman_dir,spearman_abs
F1_InvKn,F1_Low_Top5,PRE_MARKET,UP,OOS,270,0.5074,0.3185,0.2,0.1148,2.193,2.1557,1.5821,0.2852,1.0881,0.2264,0.0001,0.0454
F1_InvKn,F1_Low_Top6,PRE_MARKET,UP,OOS,324,0.5093,0.3179,0.2006,0.1173,2.249,2.1929,1.5988,0.2809,1.1117,0.3208,-0.0107,0.0415
F1_InvKn,F1_Low_Top10,PRE_MARKET,UP,OOS,540,0.4907,0.2926,0.187,0.1167,2.1777,2.1516,1.6003,0.2889,1.0622,0.566,-0.0052,0.0206
F1_InvKn,F1_InvKn_Top5,PRE_MARKET,UP,OOS,270,0.5074,0.3185,0.2,0.1148,2.193,2.1557,1.5821,0.2852,1.0881,0.2264,-0.0001,-0.0454
F1_InvKn,F1_InvKn_Top6,PRE_MARKET,UP,OOS,324,0.5093,0.3179,0.2006,0.1173,2.249,2.1929,1.5988,0.2809,1.1117,0.3208,0.0107,-0.0415
F1_InvKn,F1_High_Top5,PRE_MARKET,DOWN,TRAIN,535,0.529,0.271,0.1383,0.0598,1.4714,1.4731,1.5624,0.2486,1.0056,0.271,-0.015,-0.0569
F1_InvKn,F1_High_Top6,PRE_MARKET,DOWN,TRAIN,642,0.5249,0.271,0.1293,0.053,1.453,1.4355,1.5687,0.2555,0.9822,0.2991,-0.0122,-0.031
F1_InvKn,F1_Low_Top5,PRE_MARKET,DOWN,TRAIN,535,0.5495,0.2935,0.1607,0.0785,1.5519,1.5197,1.5466,0.2093,1.0911,0.2991,-0.0763,0.0634
F1_InvKn,F1_Low_Top6,PRE_MARKET,DOWN,TRAIN,642,0.5483,0.3006,0.1542,0.0748,1.5561,1.5303,1.5054,0.2165,1.1085,0.3738,-0.0572,0.0701
F1_InvKn,F1_Low_Top10,PRE_MARKET,DOWN,TRAIN,1070,0.5589,0.2888,0.1402,0.0607,1.4621,1.4666,1.5021,0.2262,1.084,0.5421,-0.0548,0.0645
F1_InvKn,F1_InvKn_Top5,PRE_MARKET,DOWN,TRAIN,535,0.5495,0.2935,0.1607,0.0785,1.5519,1.5197,1.5466,0.2093,1.0911,0.2991,0.0763,-0.0634
F1_InvKn,F1_InvKn_Top6,PRE_MARKET,DOWN,TRAIN,642,0.5483,0.3006,0.1542,0.0748,1.5561,1.5303,1.5054,0.2165,1.1085,0.3738,0.0572,-0.0701
F1_InvKn,F1_High_Top5,PRE_MARKET,DOWN,VAL,265,0.5208,0.3547,0.2264,0.1736,2.2401,1.8714,1.8367,0.3208,1.1878,0.3962,0.013,0.1622
F1_InvKn,F1_High_Top6,PRE_MARKET,DOWN,VAL,318,0.5063,0.3428,0.2138,0.1604,2.1689,1.8143,1.8882,0.3333,1.094,0.4151,0.0449,0.1603
F1_InvKn,F1_Low_Top5,PRE_MARKET,DOWN,VAL,265,0.4566,0.3245,0.2075,0.1208,2.207,1.7103,1.792,0.3094,0.7695,0.1698,0.0492,0.2087
F1_InvKn,F1_Low_Top6,PRE_MARKET,DOWN,VAL,318,0.4497,0.3302,0.2233,0.1321,2.3394,1.7601,1.7648,0.3176,0.8273,0.2453,0.0753,0.2061
F1_InvKn,F1_Low_Top10,PRE_MARKET,DOWN,VAL,530,0.4736,0.3226,0.2189,0.1377,2.3067,1.8222,1.7323,0.3189,0.9097,0.434,0.0777,0.2213
F1_InvKn,F1_InvKn_Top5,PRE_MARKET,DOWN,VAL,265,0.4566,0.3245,0.2075,0.1208,2.207,1.7233,1.8056,0.3094,0.7695,0.1698,-0.0485,-0.223
F1_InvKn,F1_InvKn_Top6,PRE_MARKET,DOWN,VAL,318,0.4497,0.3302,0.2233,0.1321,2.3394,1.7712,1.776,0.3176,0.8273,0.2453,-0.0748,-0.2167
F1_InvKn,F1_High_Top5,PRE_MARKET,DOWN,OOS,270,0.463,0.2778,0.1296,0.0593,1.6173,1.4316,1.7273,0.2852,1.0042,0.3208,-0.0126,0.0294
